furniture_classes-10000001,핼러윈
furniture_classes-20000001,핼러윈은 켈트인의 신년맞이 행사로 부터 유래되었습니다. 아이들이 괴물 분장을 하고 과자를 받으러 다니며 과자를 주지 않으면 그 집을 난장판으로 만드는//c 정말 무서운 날이죠.
furniture_classes-30000001,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000002,첫 시작
furniture_classes-20000002,IOP에서 배포한 가구예요.
furniture_classes-30000002,
furniture_classes-10000003,신세계(I)
furniture_classes-20000003,아름다운 전쟁 후의 세계에 오신 것을 환영합니다. 이곳에서 살아남기 위한 비결은 죽기 전까지 미리 준비하고//c 경계를 늦추지 않으며//c 오직 병에 담긴 물만을 마시는 거랍니다.
furniture_classes-30000003,
furniture_classes-10000004,가을
furniture_classes-20000004,피로에 지친 지휘관들을 위로하기 위해서 만들어진 아기자기한 숙소 인테리어라고 하네요. 이번 테마는 따스한 가을풍으로//c 여성들에게 매우 호평받는 것 같아요.
furniture_classes-30000004,한 숙소 내에 8개의 가구를 배치하여 추가 안락도를 획득 할 수 있어요.
furniture_classes-10000005,신세계(II)
furniture_classes-20000005,아름다운 전쟁 후의 세계에 오신 것을 환영합니다. 이곳에서 살아남기 위한 비결은 죽기 전까지 미리 준비하고//c 경계를 늦추지 않으며//c 오직 병에 담긴 물만을 마시는 거랍니다.
furniture_classes-30000005,
furniture_classes-10000006,LOFT
furniture_classes-20000006,가난 때문에 낡은 공장에서 지낼 수밖에 없던 예술가들이 만든 가구 스타일입니다. 100여년이 지난 지금은 전쟁 후의 시대의 유행을 이끌어가며 많은 지휘관들이 앞 다투어 요구하는 희귀한 보급품이 되었어요.
furniture_classes-30000006,한 숙소 내에 8개의 가구를 배치하여 추가 안락도를 획득 할 수 있어요.
furniture_classes-10000007,조용한 일상
furniture_classes-20000007,편안한 느낌의 가구세트로//c 신중한 성격을 가진 인형들이 선호하는 스타일이에요. 숙소 안을 푸른빛으로 감싸 편안한 분위기로 만들어준다고 하네요.
furniture_classes-30000007,
furniture_classes-10000008,사랑스런 일상
furniture_classes-20000008,사랑스러운 느낌의 가구세트로//c 주로 활발한 성격을 가진 인형들에게 호평을 받고 있죠. 숙소 안을 연한 분홍빛으로 물들어 사랑스러운 분위기로 만들어준다고 해요.
furniture_classes-30000008,
furniture_classes-10000009,지휘실
furniture_classes-20000009,지휘실 스타일의 가구 세트로//c 인형들에게 지휘관의 일과 생활을 숙소 내에서 느낄 수 있게 해줍니다. ...절대로//c 쓰다 남은 게 아니라구요!
furniture_classes-30000009,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000010,카페
furniture_classes-20000010,큰 전쟁이 일어나기 전 유행했던 문화 시설로//c 이른바 카페인 보급 음료점이에요. 실은 작가들이 평소에 아이디어가 떠오르지 않을 때 찾아오는 창작의 성지이죠.
furniture_classes-30000010,
furniture_classes-10000011,따스한 일본의 겨울
furniture_classes-20000011,따스한 일본을 주제로 한 가구 세트로//c 아무리 혹독한 겨울의 추위 속에서도 인형들에게 훈훈한 분위기를 맛볼 수 있게 해주며//c 같이 방안에서 눈송이들을 바라보는 게 일상이에요.
furniture_classes-30000011,한 숙소 내에 6개의 가구를 배치하여 추가 안락도를 획득 할 수 있어요.
furniture_classes-10000012,푸르른 일본의 겨울
furniture_classes-20000012,깨끗하고 산뜻한 느낌의 일본을 주제로 한 가구 세트로//c 설령 냉혹한 겨울 속에서라도 인형들의 고요한 마음을 지켜주죠. 모두 함께 방안에서 혹독한 겨울을 바라보는 게 일상이에요.
furniture_classes-30000012,한 숙소 내에 6개의 가구를 배치하여 추가 안락도를 획득 할 수 있어요.
furniture_classes-10000013,철혈공조
furniture_classes-20000013,철혈공조의 가구세트로//c 철혈의 자료와 설계방안을 토대로 복구한 것이랍니다. 뭐...인형들이 터미네이터들의 오후 생활을 체험할 수 있는 기회는 되겠네요.
furniture_classes-30000013,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000014,크리스마스의 축복
furniture_classes-20000014,크리스마스를 기념한 가구세트로//c 풍성하고 행복한 크리스마스이브의 저녁연회를 즐기는 느낌이에요! 인형들이 무슨 노래를 부르고 있는지 잘 들리시나요?
furniture_classes-30000014,세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000015,편의점
furniture_classes-20000015,24시간 영업하는 편의점은 인류문명의 베이스로서//c 포탄이 날아다니는 치열한 전장 속에서 따스함과 편안함을 제공해 주고 있어요. 다만//c 편의점만 영업하기에는 너무 부실한 나머지 예상치 못한 일이 언제라도 일어날 수 있으므로//c 매 그리폰 지부마다 최고로 삼엄한 경비를 자랑하는 곳이에요.
furniture_classes-30000015,
furniture_classes-10000016,북극의 이글루
furniture_classes-20000016,겨울의 느낌이 물씬 나는 북극풍의 가구 세트로 여러 가지 현실적인 스타일 설계를 채용했다고 하네요. 복슬복슬한 털을 가진 작은 동물들이 대단히 사랑스러워요.
furniture_classes-30000016,한 숙소 내에 8개의 가구를 배치하여 추가 안락도를 획득 할 수 있어요.
furniture_classes-10000300,포스터
furniture_classes-20000300,전술인형이 코스튬의 답례로써 준비한 포스터 입니다.
furniture_classes-30000300,
furniture_classes-10000017,우리의 소원
furniture_classes-20000017,한가위 느낌이 나는 가구세트입니다. 더도말고 덜도말고 한가위만 같아라! 이번 한가위에 비는 소원은 이루어 지겠죠…?
furniture_classes-30000017,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000019,엘리트 마크
furniture_classes-20000019,그리폰 엘리트 제대의 마크로//c 작전에 큰 기여를 했던 지휘관에게 수여했다고 하네요. 어쩌면//c 당신이 그녀들과 어깨를 맞대고 같이 작전을 수행하던//c 소중한 기억을 떠올리게 했을지도 모르겠네요.
furniture_classes-30000019,더 많은 전리품을 모아서 추가 안락도를 획득할 수 있습니다.
furniture_classes-10000018,IOP 게임부서
furniture_classes-20000018,여러분의 오랜 친구인 IOP 제조 회사는 산업분야에서 많은 영역을 차지하고 있습니다. 요즘 이슈인 모바일 게임 분야로 나아가는 것도 놀랍지 않죠. 하지만//c 그들은 곧 이 업계의 참혹함을 깨닫게 되었답니다.
furniture_classes-30000018,한 숙소 내에 8개의 가구를 배치하여 추가 안락도를 획득 할 수 있어요.
furniture_classes-10000021,별을 세는 밤
furniture_classes-20000021,밸런타인데이의 느낌이 물씬! 행복이란 결국 타인의 꿈속에서 살아가는 걸까요//c 아니면 자신의 이야기에서 주인공이 되는 것일까요?
