furniture_classes-10000001,ハロウィン
furniture_classes-20000001,ハロウィンは古代ケルトの新年に由来するもので、子供たちがお化けの扮装でお菓子をねだります。ここではお菓子を与えないと誰かの家が爆破される恐れがありますので、ご注意を。
furniture_classes-30000001,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000002,初期
furniture_classes-20000002,IOPに支給された品々
furniture_classes-30000002,
furniture_classes-10000003,新世界(I)
furniture_classes-20000003,素晴らしい戦後の世界へようこそ。ここで生き伸びる秘訣は常に準備と警惕を怠らず、ボトル入り以外の水は飲まないこと。
furniture_classes-30000003,
furniture_classes-10000004,オータム
furniture_classes-20000004,指揮官たちの疲れた心を癒すためにデザインされた可愛いインテリア。今回のテーマは温かい秋で、女性に大人気なもよう。
furniture_classes-30000004,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000005,新世界(II)
furniture_classes-20000005,素晴らしい戦後の世界へようこそ。ここで生き伸びる秘訣は常に準備と警惕を怠らず、ボトル入り以外の水は飲まないこと。
furniture_classes-30000005,
furniture_classes-10000006,LOFT
furniture_classes-20000006,貧しさゆえに古い工場に住むしかない芸術家たちのために考案されたインテリアだったが、百年後の今は戦後のファッションをリードし、指揮官たちが競って求めるレアな品々となっている。
furniture_classes-30000006,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000007,静かな日常
furniture_classes-20000007,落ち着いた感じの家具セット。おとなしい性格の人形はことのほか安心するらしい。部屋にアクアブルーの静かなオーラを漂わせよう。
furniture_classes-30000007,
furniture_classes-10000008,キュートな日常
furniture_classes-20000008,可愛さ満点の家具セット。活発な人形に大人気。部屋中をピンクの可愛いオーラでいっぱいにしよう。
furniture_classes-30000008,
furniture_classes-10000009,司令室
furniture_classes-20000009,司令室風の家具セット。人形たちに指揮官の働いている日常を感じさせよう。もちろん新品で、不用品をリサイクルしたわけじゃありません。
furniture_classes-30000009,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000010,喫茶店
furniture_classes-20000010,大戦前に流行していた文化的施設。様々な飲み物が楽しめる店だが「カフェイン補充」という名前の喫茶店だが、実際はふだん集中できない作家の創作の聖地。
furniture_classes-30000010,
furniture_classes-10000011,暖冬の和室
furniture_classes-20000011,ほんわかした和風がテーマの家具セット。寒い冬でもハッピーな気分になれる。部屋で一緒に雪見しよう。
furniture_classes-30000011,同一宿舍内に6点を設置すると、快適度を追加獲得。
furniture_classes-10000012,厳冬の和室
furniture_classes-20000012,キリッとした和風がテーマの家具セット。酷い寒さでも静かな心を保つことができる。部屋で一緒に冬ならではの日常を楽しもう。
furniture_classes-30000012,同一宿舍内に6点を設置すると、快適度を追加獲得。
furniture_classes-10000013,鉄血工造
furniture_classes-20000013,鉄血工造がテーマの家具セット。鉄血の資料から再現・考案したデザイン。人形たちにターミネーターの昼下がりを体験させてみよう。
furniture_classes-30000013,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000014,クリスマス
furniture_classes-20000014,クリスマスがテーマの家具セット。盛大なパーティーを開いて温かで幸せなクリスマスイブを楽しもう！……ほら、人形たちが何やら歌ってますよ？
